Number,Short Description,AI Generated Category,Confidence Score
"null","null","null","null"
"IM1057844","Hello, Can you please help fix issue bigger not opening. Thanks","Application Function Issue","80"
"IM1144513","Youtube - no access to youtube anymore","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1086641","Unable to preview Invoice in BIGGER","Application Function Issue","90"
"IM1115837","Unable to access OneDrive & low disk space on remote desktop","Network","60"
"null","null","null","null"
"IM1063357","Unable to access http://eproc.geodipa.co.id/","Service/Process Failure","75"
"null","null","null","null"
"IM1062812","Citi Prestige 4NF offer - Oanda Currency Converter - MNT to HKD","Security Violation","50"
"null","null","null","null"
"IM1066369","can not access https://share.internationalsos.com/","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1073626","enable shared folder access","Access Grant Request","90"
"IM1092279","NewCase AAG cannot be launched via Direct Access","Application Function Issue","75"
"null","null","null","null"
"IM1129373","User reported issue with RITM0791007","Service/Process Failure","60"
"null","null","null","null"
"IM1141136","Unable to access Mastercard BPA site to upload files to client as required by contract. Link fails o","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1143033","unable to access hydra incident","Node/Device Down","70"
"IM1070100","RDP connection is no longer possible to Desktop Machines","Access Authentication Failure","95"
"null","null","null","null"
"IM1114260","Tricare VDI Logon Issue","Access Authentication Failure","90"
"null","null","null","null"
"IM1068288","User can't get to site","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1071047","Legacy Client Procedures cannot be accessed in Newcase","Application Function Issue","80"
"IM1108757","DRAGONPASS PORTAL NOT PROCEEDING","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1142943","Unable to access TransactionDB_Staging getting forbidden for my ip: 49.204.97.152","Access Authentication Failure","95"
"IM1058317","My access to Google Drive was removed. Can you please help me check if access was somehow expired.","Access Revoke","95"
"null","null","null","null"
"IM1071827","Proposal templates not loading","Application Function Issue","90"
"null","null","null","null"
"IM1085221","PNG1 , PNG2 and PNG3 are unable to access https://share.internationalsos.com/WebClientNew/Login","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1057149","Unable to discover 123 AWS Windows Server","Node/Device Down","90"
"IM1124180","Google Drive: Need access to google drive website","Access Grant Request","80"
"null","null","null","null"
"null","null","null","null"
"IM1130650","Microsoft Teams:I lost access to Teams chat. I get the message "Administrator has disabled chat for ","Access Authentication Failure","95"
"IM1149785","Unable to access client web-based portal for invoice dispatch","Application Function Issue","85"
"null","null","null","null"
"null","null","null","null"
"IM1057238","Mon ADP- Unable to access from OKTA- your session has expired","Access Authentication Failure","90"
"null","null","null","null"
"IM1084351","Workforce not loading!","Application Function Issue","90"
"IM1101759","Asset failure","Hardware","70"
"null","null","null","null"
"IM1060614","Power Apps- Onedrive access is not allowed while doing set up","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1066365","Active Directory","Active Directory","0"
"IM1066966","User radheesh.tr@aspirelifestyles.com is unable to access the Aspire Jump Server ( 10.123.1.5 )","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1066808","Having an issue on searching claims in Bigger System.","Application Function Issue","70"
"IM1079083","Cyber Ark : Unable to access cyber ark - 10.2.12.89","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1122455","Hydra Exception Request - Ticket created with reference to IM1094819","Access Grant Request","90"
"null","null","null","null"
"IM1080785","Hi Team from Globally user cant access the London Training machine because of the Remote access issu","Network","85"
"null","null","null","null"
"IM1092056","Unable to access Azure server 10.141.0.6","Node/Device Down","90"
"IM1140240","RDPs for accesing New case PHL are not responding","Node/Device Down","95"
"null","null","null","null"
"null","null","null","null"
"IM1093529","Oryx.  I cannot access Oryx.  It was linked in my google authenticator, but I cannot get the code no","Application Function Issue","80"
"IM1103923","Amex|| Unable to access the Amex website|| https://wi-tims.gso.aexp.com/Citrix/XenappWeb/","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1127974","No access to programs","Application Function Issue","75"
"IM1131177","the user cant access the link https://mudad.com.sa/landing-page/home from the office network but onc","Network","80"
"null","null","null","null"
"null","null","null","null"
"IM1062599","Zscaler issue","Web Security","70"
"IM1143011","Cannot access MyHR","Application Function Issue","80"
"null","null","null","null"
"null","null","null","null"
"IM1144766","SharePoint : Access required   kyle.nilles@medaire.com","Access Grant Request","65"
"IM1132655","eBusiness card issue","Application Function Issue","70"
"null","null","null","null"
"IM1071641","Error when logging in Transformer by using Windows App   -   user : Arunsri.pansuwan@aspirelifestyle","Access Authentication Failure","90"
"null","null","null","null"
"IM1090357","For the employee Jack Rivers (LON entity), the expense was split and allocated in the ratio of 64.28","Application Function Issue","85"
"null","null","null","null"
"IM1158692","Some users are not able to log in website - Unable to access","Access Authentication Failure","80"
"null","null","null","null"
"IM1064453","I can access the butter link  but cant upload a file","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1132185","Others:below internal websites are not opening","Network","70"
"IM1132679","Others:Printer requires software update","Application Function Issue","80"
"null","null","null","null"
"IM1157133","Please allow server SYDVAPPAY002 to establish outbound SFTP connections (Port 22) to the following A","Access Grant Request","90"
"null","null","null","null"
"IM1112193","please see the 4 links below","Application Function Issue","70"
"null","null","null","null"
"IM1135649","Rename computer is failing","Hardware","60"
"null","null","null","null"
"null","null","null","null"
"IM1111871","unable to book a desk on tribeloo","Application Function Issue","85"
"IM1068182","Unable to access GFCD SharePoint site","Access Authentication Failure","85"
"null","null","null","null"
"IM1082962","I could not access officail website Clubmed","Application Function Issue","75"
"null","null","null","null"
"IM1072534","We are having RDP connectivity issues with following servers","Network","85"
"null","null","null","null"
"IM1094837","Hello, I am submitting this ticket on behalf of Prof. Dembele. He is an external consultant and is u","Access Authentication Failure","70"
"null","null","null","null"
"IM1113824","Axis Camera Application Not connecting to server","Application Function Issue","90"
"null","null","null","null"
"IM1105731","Unable to access WARA Member Management","Application Function Issue","80"
"null","null","null","null"
"IM1130413","Chat Option is greyed out / Not visible on the Teams Taskbar for multiple user.","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1107765","RITM0769282_Hydra Access for Andrew Tarur_HGCP Clinic Manager","Access Grant Request","95"
"IM1153096","Compliance or Legal - Copy of Trevor Long's Teams chat from May 5, 2026 through June 24, 2026","Security Violation","90"
"null","null","null","null"
"null","null","null","null"
"IM1110442","Mobile Access Fix","Access Authentication Failure","85"
"IM1081670","Having troubles to open NEW CASE MDOD000730 Mark Andreasen.  CN Nao informed this incident yesterday","Application Function Issue","75"
"null","null","null","null"
"IM1130648","Hi Team can you please check into the issue with the Wi-Fi in the London office.","Network","80"
"null","null","null","null"
"IM1058588","Hydra Feedback- Unable to upload complaints","Application Function Issue","85"
"null","null","null","null"
"IM1072511","I am unable to connect  to server AZ01VMPMMEDAP01 and AZ01VMPMMEDAP02 via RDP","Network","90"
"null","null","null","null"
"IM1117632","unable to access shared data location shared by client via his Intl SOS account","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1122694","Unable to access office applications","Application Function Issue","95"
"IM1130488","Chat Disabled Issue","Service/Process Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1140285","I want to know the maintenance hours of server azusevmjhitd002.aspirelifestylesglobal.com [10.124.0.","Network","80"
"IM1060502","Incident: Unable to upload files to MMED","Application Function Issue","90"
"null","null","null","null"
"IM1156865","Reset AWS access","Password Reset","95"
"null","null","null","null"
