Number,Short Description,AI Generated Category,Confidence Score
"INC4079549","Uninstall Autocad from my system","Application Function Issue","85"
"INC4079526","User called for shared drive issue and it got fixed itself over the call","Application Function Issue","90"
"INC4079405","Bitlocker recovery key","Security Violation","75"
"INC4079316","The employee's name is not correct on Teams","Employee Onboarding","80"
"INC4079070","Atkins is not letting me access teams on my phone or login to my apple id","Access Authentication Failure","95"
"INC4078935","Install local printer","Hardware","80"
"INC4078901","Access to BOX Lost","Access Authentication Failure","90"
"INC4078835","An external person requested access to internal tool (which is sitting on Sharepoint). I want to und","Access Grant Request","95"
"INC4078766","Unable to login on my mobile apps","Access Authentication Failure","85"
"INC4078667","US Timesheet Rejected","Application Function Issue","90"
"INC4078624","pdf drawings doesnt open properly","Application Function Issue","80"
"INC4078585","Micro soft outlook is not working","Application Function Issue","90"
"INC4078536","External Monitors not working","Hardware","85"
"INC4078403","System Hard disc full capacity, need network drive to store data","Network","75"
"INC4078398","need a access to edit and view the sharepoint","Access Grant Request","85"
"INC4078312","Customer Site earlier it was working to us but not working now -  While login into the site getting ","Application Function Issue","75"
"INC4078311","I am not able to access the Oracle","Access Authentication Failure","80"
"INC4078104","monitor is not working","Hardware","90"
"INC4078089","Zscaler is not connected.","Password Reset","95"
"INC4078078","need to reset my email within the authentication app and i had to change phones and redownload the a","null","null"
"INC4078077","Can`t print","Hardware","90"
"INC4078045","Keyboard missing","Hardware","95"
"INC4078014","Issue with sentinel key. CDEGS software is not working","Application Function Issue","85"
"INC4077945","Unable to access concur site","Access Authentication Failure","80"
"INC4077915","user called for bit locket recovery key","Password Reset","75"
"INC4077695","Concur reports applicable policy","Access Authentication Failure","70"
"INC4077464","Unable to Sign into Work Profile on Phone","Access Authentication Failure","85"
"INC4077263","Unable to open local drive file","Hardware","90"
"INC4076923","I cannot open excel files","Application Function Issue","90"
"INC4076817","Missing ProjectWise Explorer Client Licence","Access Grant Request","85"
"INC4076803","[TO BE INSTALLED YET] Bentley ProjectWise Explorer CONNECT 10.00.03 (10.00.03.453) - GLOBAL // NETWO","Hardware","75"
"INC4076793","local printer has not been working for 2 weeks now though it has been reported many times before","Hardware","95"
"INC4076790","I requested ProjectWise Explorer 2024 because I have a new laptop, it was approved by my Manager but","Access Grant Request","80"
"INC4076767","New Cross Printer  Port: 192.168.10.10 showing offline","Network","90"
"INC4076759","User called for Request catalogue","Access Grant Request","85"
"INC4076742","Linxon UK time sheet access request","Access Grant Request","85"
"INC4076724","Oracle password reset","Password Reset","95"
"INC4076716","I try to open any One Drive or sharepoint document and it says  "Make sure OneDrive - AtkinsRealis i","Application Function Issue","80"
"INC4076694","Laptop issues - Slow initial starting when switching it on, Excel files not working all the time, re","Hardware","90"
"INC4076453","EcoOnline not working on my work phone...","Application Function Issue","95"
"INC4076303","Uninstall templafy","Access Grant Request","85"
"INC4076164","To whom it may concern, would you please give me a 'Docusign eSignatures - Free Electronic Signature","Access Authentication Failure","90"
"INC4076128","Windows need your current credentials error","Access Authentication Failure","80"
"INC4076065","Not able to invite colleague to teams, Vincent Tunn","Access Grant Request","75"
"INC4076064","Can't be able to create a Work Profile in Company Portal for Mobile Access.","Access Authentication Failure","85"
"INC4076017","Guests cannot access SharePoint page","Access Authentication Failure","95"
"INC4076006","CSI SAFE LICENSE ISSUE","Application Function Issue","90"
"INC4076004","Elana can not login","Access Authentication Failure","95"
"INC4075863","Main printer on site Bengeworth Office/London is OFFLINE","Hardware","90"
"INC4075850","unable to scan the print","Application Function Issue","85"
"INC4075823","Unable to request for TEAMS Meeting","Application Function Issue","80"
"INC4075815","Printer connection does not work any longer","Hardware","90"
"INC4075800","My INS account is locked","Access Authentication Failure","95"
"INC4075759","3rd floor Printer Access","Hardware","90"
"INC4075724","Sharepoint is not working","Application Function Issue","85"
